R,depth,width,seed,K,s2,rel
0.8,2,4,0,0.5,0.8977818842738932,0.9913216367608682
0.8,2,4,0,0.0,1.0,1.0
0.8,2,4,0,-0.5,1.1113232970947502,1.0442167567244482
0.8,2,4,0,-1.0,1.2323941181210039,1.0983016212978047
0.8,2,4,0,-2.0,1.5065359277077244,1.2332760605614277
0.8,2,4,0,-4.0,2.2044230860437226,1.5803999743208945
0.8,2,4,0,-6.0,3.1496856357366823,2.0566529830334424
0.8,2,4,1,0.5,0.8977818842738932,0.9922354583363518
0.8,2,4,1,0.0,1.0,1.0
0.8,2,4,1,-0.5,1.1113232970947502,1.0537867492046766
0.8,2,4,1,-1.0,1.2323941181210039,1.1118768209045444
0.8,2,4,1,-2.0,1.5065359277077244,1.2429552056061701
0.8,2,4,1,-4.0,2.2044230860437226,1.5553276461877665
0.8,2,4,1,-6.0,3.1496856357366823,1.9424390889592993
0.8,2,4,2,0.5,0.8977818842738932,0.9819156340029923
0.8,2,4,2,0.0,1.0,1.0
0.8,2,4,2,-0.5,1.1113232970947502,1.1372932503692168
0.8,2,4,2,-1.0,1.2323941181210039,1.31247368312295
0.8,2,4,2,-2.0,1.5065359277077244,1.8151175037877445
0.8,2,4,2,-4.0,2.2044230860437226,3.579853698309514
0.8,2,4,2,-6.0,3.1496856357366823,7.080127494102141
0.8,2,4,3,0.5,0.8977818842738932,0.9666074873084208
0.8,2,4,3,0.0,1.0,1.0
0.8,2,4,3,-0.5,1.1113232970947502,1.1419522232686483
0.8,2,4,3,-1.0,1.2323941181210039,1.3123740497941443
0.8,2,4,3,-2.0,1.5065359277077244,1.8658934888107177
0.8,2,4,3,-4.0,2.2044230860437226,3.910841603883203
0.8,2,4,3,-6.0,3.1496856357366823,8.280164175146213
0.8,2,4,4,0.5,0.8977818842738932,0.9851669546163145
0.8,2,4,4,0.0,1.0,1.0
0.8,2,4,4,-0.5,1.1113232970947502,1.0220489722255341
0.8,2,4,4,-1.0,1.2323941181210039,1.0702527218047226
0.8,2,4,4,-2.0,1.5065359277077244,1.1912983549038532
0.8,2,4,4,-4.0,2.2044230860437226,1.6006470928524124
0.8,2,4,4,-6.0,3.1496856357366823,2.15587430668531
0.8,2,4,5,0.5,0.8977818842738932,0.983570987482122
0.8,2,4,5,0.0,1.0,1.0
0.8,2,4,5,-0.5,1.1113232970947502,1.0368959741848995
0.8,2,4,5,-1.0,1.2323941181210039,1.0849238606054614
0.8,2,4,5,-2.0,1.5065359277077244,1.2228973447478546
0.8,2,4,5,-4.0,2.2044230860437226,1.71128544929953
0.8,2,4,5,-6.0,3.1496856357366823,2.41256360026075
0.8,2,4,6,0.5,0.8977818842738932,0.9699527329852837
0.8,2,4,6,0.0,1.0,1.0
0.8,2,4,6,-0.5,1.1113232970947502,1.0632905861490853
0.8,2,4,6,-1.0,1.2323941181210039,1.1344141826533394
0.8,2,4,6,-2.0,1.5065359277077244,1.3253310073636446
0.8,2,4,6,-4.0,2.2044230860437226,1.7864401927335316
0.8,2,4,6,-6.0,3.1496856357366823,2.5675158685025754
0.8,2,4,7,0.5,0.8977818842738932,0.9797959097427565
0.8,2,4,7,0.0,1.0,1.0
0.8,2,4,7,-0.5,1.1113232970947502,1.0338619805767213
0.8,2,4,7,-1.0,1.2323941181210039,1.0799078762686742
0.8,2,4,7,-2.0,1.5065359277077244,1.1877239256679113
0.8,2,4,7,-4.0,2.2044230860437226,1.4844063761472657
0.8,2,4,7,-6.0,3.1496856357366823,1.9714935498638313
0.8,2,4,8,0.5,0.8977818842738932,0.9816909015779316
0.8,2,4,8,0.0,1.0,1.0
0.8,2,4,8,-0.5,1.1113232970947502,1.0341757719381934
0.8,2,4,8,-1.0,1.2323941181210039,1.0713778109292869
0.8,2,4,8,-2.0,1.5065359277077244,1.1617437027010815
0.8,2,4,8,-4.0,2.2044230860437226,1.4960366672453203
0.8,2,4,8,-6.0,3.1496856357366823,2.0274561408715517
0.8,2,4,9,0.5,0.8977818842738932,0.9887319814606427
0.8,2,4,9,0.0,1.0,1.0
0.8,2,4,9,-0.5,1.1113232970947502,1.0539598434300783
0.8,2,4,9,-1.0,1.2323941181210039,1.1160314058651057
0.8,2,4,9,-2.0,1.5065359277077244,1.2677371924767709
0.8,2,4,9,-4.0,2.2044230860437226,1.6996292584471182
0.8,2,4,9,-6.0,3.1496856357366823,2.2989028296014613
0.8,2,4,10,0.5,0.8977818842738932,0.985800704116245
0.8,2,4,10,0.0,1.0,1.0
0.8,2,4,10,-0.5,1.1113232970947502,1.0671965610141396
0.8,2,4,10,-1.0,1.2323941181210039,1.1388600126484305
0.8,2,4,10,-2.0,1.5065359277077244,1.305303277774125
0.8,2,4,10,-4.0,2.2044230860437226,1.7182103921988487
0.8,2,4,10,-6.0,3.1496856357366823,2.269628458865231
0.8,2,4,11,0.5,0.8977818842738932,0.9884977642268038
0.8,2,4,11,0.0,1.0,1.0
0.8,2,4,11,-0.5,1.1113232970947502,1.0348139899575834
0.8,2,4,11,-1.0,1.2323941181210039,1.0723461265140515
0.8,2,4,11,-2.0,1.5065359277077244,1.1726013471605652
0.8,2,4,11,-4.0,2.2044230860437226,1.376148087120909
0.8,2,4,11,-6.0,3.1496856357366823,1.6614188085444401
0.8,2,4,12,0.5,0.8977818842738932,0.9856312639941673
0.8,2,4,12,0.0,1.0,1.0
0.8,2,4,12,-0.5,1.1113232970947502,1.0448256438312922
0.8,2,4,12,-1.0,1.2323941181210039,1.0851127559852218
0.8,2,4,12,-2.0,1.5065359277077244,1.2082922975505572
0.8,2,4,12,-4.0,2.2044230860437226,1.4593917537204686
0.8,2,4,12,-6.0,3.1496856357366823,1.7477136462700475
0.8,2,4,13,0.5,0.8977818842738932,0.9747324087691461
0.8,2,4,13,0.0,1.0,1.0
0.8,2,4,13,-0.5,1.1113232970947502,1.0586299131941057
0.8,2,4,13,-1.0,1.2323941181210039,1.133206277688594
0.8,2,4,13,-2.0,1.5065359277077244,1.3111124159139236
0.8,2,4,13,-4.0,2.2044230860437226,1.974018881653279
0.8,2,4,13,-6.0,3.1496856357366823,3.1624893147222295
0.8,2,4,14,0.5,0.8977818842738932,0.9866719309806304
0.8,2,4,14,0.0,1.0,1.0
0.8,2,4,14,-0.5,1.1113232970947502,1.0145327297675437
0.8,2,4,14,-1.0,1.2323941181210039,1.0304199909045915
0.8,2,4,14,-2.0,1.5065359277077244,1.0649445966635267
0.8,2,4,14,-4.0,2.2044230860437226,1.1493648286752278
0.8,2,4,14,-6.0,3.1496856357366823,1.2325800605004178
0.8,2,4,15,0.5,0.8977818842738932,0.9936919428049616
0.8,2,4,15,0.0,1.0,1.0
0.8,2,4,15,-0.5,1.1113232970947502,1.20965136373074
0.8,2,4,15,-1.0,1.2323941181210039,1.4752027315932614
0.8,2,4,15,-2.0,1.5065359277077244,2.2276940538042704
0.8,2,4,15,-4.0,2.2044230860437226,5.141022946368778
0.8,2,4,15,-6.0,3.1496856357366823,11.775622577892051
0.8,2,4,16,0.5,0.8977818842738932,0.991799109766675
0.8,2,4,16,0.0,1.0,1.0
0.8,2,4,16,-0.5,1.1113232970947502,1.1036283699913414
0.8,2,4,16,-1.0,1.2323941181210039,1.2198602957899596
0.8,2,4,16,-2.0,1.5065359277077244,1.5103772199130803
0.8,2,4,16,-4.0,2.2044230860437226,2.3630037428268054
0.8,2,4,16,-6.0,3.1496856357366823,3.7168132077258482
0.8,2,4,17,0.5,0.8977818842738932,0.9808547364179522
0.8,2,4,17,0.0,1.0,1.0
0.8,2,4,17,-0.5,1.1113232970947502,1.0863481701355084
0.8,2,4,17,-1.0,1.2323941181210039,1.2006650801602148
0.8,2,4,17,-2.0,1.5065359277077244,1.462950534189541
0.8,2,4,17,-4.0,2.2044230860437226,2.328503419735505
0.8,2,4,17,-6.0,3.1496856357366823,3.674875732533335
0.8,2,4,18,0.5,0.8977818842738932,0.9855940762257257
0.8,2,4,18,0.0,1.0,1.0
0.8,2,4,18,-0.5,1.1113232970947502,1.0590620939359172
0.8,2,4,18,-1.0,1.2323941181210039,1.1219522903642891
0.8,2,4,18,-2.0,1.5065359277077244,1.2589268560611455
0.8,2,4,18,-4.0,2.2044230860437226,1.6408892374124286
0.8,2,4,18,-6.0,3.1496856357366823,2.1407673243987655
0.8,2,4,19,0.5,0.8977818842738932,0.9838250230657745
0.8,2,4,19,0.0,1.0,1.0
0.8,2,4,19,-0.5,1.1113232970947502,1.0571137909172443
0.8,2,4,19,-1.0,1.2323941181210039,1.1331780691762336
0.8,2,4,19,-2.0,1.5065359277077244,1.318331033277016
0.8,2,4,19,-4.0,2.2044230860437226,1.875809980304166
0.8,2,4,19,-6.0,3.1496856357366823,2.7710010949416457
